Year,????,???,??,??,???,EPS,PER,?? EPS,?? PER,BPS,PBR,?????,?????
2024-12-23,79550,LIG???,212000,9500,4.69,8028,26.41,12208,17.37,48286,4.39,1950,0.92
2024-12-23,225190,LK??,2970,205,7.41,14,212.14,,,593,5.01,60,2.02
2024-12-23,6260,LS,98400,5100,5.47,15881,6.2,14270,6.9,172545,0.57,1600,1.63
2024-12-23,10120,LS ELECTRIC,157400,5000,3.28,7012,22.45,9870,15.95,58345,2.7,2800,1.78
2024-12-23,680,LS????,2870,45,1.59,145,19.79,,,7619,0.38,0,0
2024-12-23,60370,LS?????,14780,280,1.93,472,31.31,388,38.08,4987,2.96,160,1.08
2024-12-23,417200,LS?????,11240,100,0.9,214,52.52,80,140.82,2668,4.21,22,0.2
2024-12-23,229640,LS?????,32100,-800,-2.43,136,236.03,1148,27.97,4793,6.7,200,0.62
2024-12-23,78020,LS??,4000,0,0,423,9.46,,,13813,0.29,150,3.75
2024-12-23,108320,LX???,59100,500,0.85,6222,9.5,9430,6.27,60056,0.98,1800,3.05
2024-12-23,1120,LX?????,28850,450,1.58,3255,8.86,7485,3.85,63172,0.46,1200,4.16
2024-12-23,108670,LX????,32800,250,0.77,6186,5.3,7543,4.35,83467,0.39,1700,5.18
2024-12-23,108675,LX?????,21450,150,0.7,,,,,,,1750,8.16
2024-12-23,383800,LX???,7040,50,0.72,1015,6.94,2238,3.15,21403,0.33,270,3.84
2024-12-23,38380K,LX???1?,7950,-30,-0.38,,,,,,,280,3.52
2024-12-23,476080,M83,16230,-660,-3.91,1094,14.84,,,3611,4.49,0,0
2024-12-23,86960,MDS??,958,45,4.93,17,56.35,,,1327,0.72,0,0
2024-12-23,23150,MH???,5600,100,1.82,718,7.8,,,10724,0.52,250,4.46
2024-12-23,38340,MIT,1233,0,0,,,,,525,2.35,0,0
2024-12-23,35420,NAVER,201000,-9000,-4.29,6661,30.18,11110,18.09,154077,1.3,1205,0.6
2024-12-23,160550,NEW,2290,35,1.55,,,,,3923,0.58,0,0
2024-12-23,53290,NE??,3805,60,1.6,65,58.54,,,5171,0.74,0,0
2024-12-23,181710,NHN,18550,-220,-1.17,,,1962,9.45,48402,0.38,500,2.7
2024-12-23,60250,NHN KCP,8080,30,0.37,913,8.85,1064,7.6,5780,1.4,200,2.48
2024-12-23,104200,NHN??,2900,-10,-0.34,,,,,5102,0.57,0,0
2024-12-23,5940,NH????,14220,570,4.18,1588,8.95,2113,6.73,21757,0.65,800,5.63
2024-12-23,5945,NH?????,12380,200,1.64,,,,,,,850,6.87
2024-12-23,34310,NICE,11860,60,0.51,110,107.82,,,21341,0.56,451,3.8
2024-12-23,30190,NICE????,12500,110,0.89,946,13.21,1289,9.7,6249,2,410,3.28
2024-12-23,8260,NI??,3470,30,0.87,1756,1.98,,,8188,0.42,125,3.6
2024-12-23,4250,NPC,4430,80,1.84,650,6.82,,,8873,0.5,100,2.26
2024-12-23,4255,NPC?,2665,65,2.5,,,,,,,105,3.94
2024-12-23,222160,NPX,8040,0,0,,,,,2382,3.38,0,0
2024-12-23,456040,OCI,62500,1500,2.46,7052,8.86,,,132933,0.47,2000,3.2
2024-12-23,10060,OCI???,60500,1200,2.02,36540,1.66,16866,3.59,190202,0.32,3300,5.45
2024-12-23,178920,PI????,17580,690,4.09,,,1262,13.93,10724,1.64,0,0
2024-12-23,24940,PN??,8350,-330,-3.8,231,36.15,,,5109,1.63,35,0.42
2024-12-23,5490,POSCO???,262000,2500,0.96,22382,11.71,26699,9.81,714069,0.37,10000,3.82
2024-12-23,218410,RFHIC,13040,60,0.46,671,19.43,1121,11.63,11103,1.17,100,0.77
2024-12-23,327260,RF?????,4725,180,3.96,,,,,5259,0.9,0,0
2024-12-23,474610,RF????,4125,115,2.87,,,,,,,0,0
2024-12-23,91340,S&K???,2585,60,2.38,,,,,7690,0.34,0,0
2024-12-23,10950,S-Oil,56000,200,0.36,8149,6.87,5652,9.91,77629,0.72,1700,3.04
2024-12-23,10955,S-Oil?,39400,700,1.81,,,,,,,1725,4.38
2024-12-23,419530,SAMG??,13610,310,2.33,,,407,33.41,5718,2.38,0,0
2024-12-23,19550,SBI??????,778,-1,-0.13,52,14.96,,,783,0.99,0,0
2024-12-23,34120,SBS,26000,6000,30,2613,9.95,1934,13.44,47382,0.55,500,1.92
2024-12-23,36120,SCI????,2275,-60,-2.57,14,162.5,,,830,2.74,50,2.2
2024-12-23,246960,SCL????,8180,-130,-1.56,,,,,2597,3.15,0,0
2024-12-23,99220,SDN,1130,-27,-2.33,,,,,1723,0.66,0,0
2024-12-23,36540,SFA???,3210,155,5.07,,,63,51.25,2737,1.17,0,0
2024-12-23,255220,SG,3165,-55,-1.71,,,,,1048,3.02,0,0
2024-12-23,40610,SG&G,1589,0,0,592,2.68,,,10247,0.16,0,0
2024-12-23,49470,SGA,291,-2,-0.68,,,,,643,0.45,0,0
2024-12-23,184230,SGA????,468,13,2.86,,,,,861,0.54,0,0
2024-12-23,16250,SGC E&C,13370,310,2.37,,,5150,2.6,69166,0.19,750,5.61
2024-12-23,5090,SGC???,26450,750,2.92,2953,8.96,6146,4.3,49925,0.53,1700,6.43
2024-12-23,1380,SG???,4175,-35,-0.83,449,9.3,,,3137,1.33,0,0
2024-12-23,4060,SG????,330,0,0,,,,,1222,0.27,0,0
2024-12-23,1770,SHD,14040,120,0.86,91,154.29,,,42198,0.33,100,0.71
2024-12-23,2360,SH?????,533,29,5.75,,,,,823,0.65,0,0
2024-12-23,9160,SIMPAC,3845,40,1.05,,,,,10735,0.36,100,2.6
2024-12-23,33530,SJG??,4050,5,0.12,149,27.18,,,15243,0.27,150,3.7
2024-12-23,123700,SJM,3040,30,1,1128,2.7,,,12162,0.25,175,5.76
2024-12-23,25530,SJM???,3385,10,0.3,709,4.77,,,11504,0.29,225,6.65
2024-12-23,34730,SK,139800,6100,4.56,,,22332,6.26,373938,0.37,5000,3.58
2024-12-23,11790,SKC,109900,4400,4.17,,,,,41484,2.65,0,0
2024-12-23,18670,SK??,201500,5300,2.7,35241,5.72,35076,5.74,287583,0.7,8000,3.97
2024-12-23,1740,SK????,4330,160,3.84,,,294,14.73,10690,0.41,200,4.62
2024-12-23,6120,SK?????,38900,900,2.37,9699,4.01,,,150811,0.26,1700,4.37
2024-12-23,6125,SK??????,32000,300,0.95,,,,,,,1750,5.47
2024-12-23,210980,SK???,7680,-20,-0.26,4177,1.84,2855,2.69,31495,0.24,800,10.42
2024-12-23,302440,SK???????,52500,-3000,-5.41,291,180.41,,,22178,2.37,0,0
2024-12-23,326030,SK????,104700,2600,2.55,,,1948,53.74,3622,28.91,0,0
2024-12-23,402340,SK???,82200,3300,4.18,,,30241,2.72,112214,0.73,0,0
2024-12-23,361610,SK????????,24500,1750,7.69,1152,21.27,,,33825,0.72,0,0
2024-12-23,100090,SK?????,13410,-130,-0.96,1041,12.88,981,13.67,11734,1.14,0,0
2024-12-23,03473K,SK?,114900,2000,1.77,,,,,,,5050,4.4
2024-12-23,96770,SK?????,115100,-1200,-1.03,2808,40.99,,,230169,0.5,0,0
2024-12-23,96775,SK??????,76000,0,0,,,,,,,0,0
2024-12-23,475150,SK????,12690,-60,-0.47,,,1089,11.65,,,0,0
2024-12-23,1510,SK??,476,4,0.85,6,79.33,,,1523,0.31,2,0.42
2024-12-23,1515,SK???,1744,-17,-0.97,,,,,,,7,0.4
2024-12-23,285130,SK???,46550,-450,-0.96,2072,22.47,640,72.71,110405,0.42,650,1.4
2024-12-23,28513K,SK????,20400,150,0.74,,,,,,,700,3.43
2024-12-23,17670,SK???,56700,700,1.25,4954,11.45,5814,9.75,53545,1.06,3540,6.24
2024-12-23,660,SK????,169600,1100,0.65,,,35325,4.8,77752,2.18,1200,0.71
2024-12-23,48550,SM C&C,1487,-3,-0.2,,,,,1016,1.46,0,0
2024-12-23,63440,SM Life Design,1307,19,1.48,103,12.69,,,1239,1.05,0,0
2024-12-23,3570,SNT?????,19360,1270,7.02,2212,8.75,2021,9.58,31290,0.62,700,3.62
2024-12-23,64960,SNT???,40700,1000,2.52,6579,6.19,6276,6.48,72007,0.57,1600,3.93
2024-12-23,100840,SNT???,23450,4600,24.4,1252,18.73,1968,11.92,15209,1.54,900,3.84
2024-12-23,36530,SNT???,23950,1200,5.27,6041,3.96,6502,3.68,73929,0.32,800,3.34
2024-12-23,67160,SOOP,93100,1500,1.64,6874,13.54,9723,9.57,27160,3.43,850,0.91
2024-12-23,5610,SPC??,49200,500,1.03,6197,7.94,7494,6.57,51697,0.95,1700,3.46
2024-12-23,11810,STX,4445,40,0.91,,,,,2791,1.59,0,0
2024-12-23,465770,STX?????,8230,240,3,201,40.95,,,4260,1.93,0,0
2024-12-23,77970,STX??,19450,-40,-0.21,167,116.47,1002,19.42,9391,2.07,0,0
2024-12-23,2820,SUN&L,2890,105,3.77,,,,,19587,0.15,0,0
2024-12-23,289080,SV??????,1329,-2,-0.15,80,16.61,,,1402,0.95,20,1.5
2024-12-23,84870,TBH???,1216,-14,-1.14,323,3.76,,,3022,0.4,100,8.22
2024-12-23,2710,TCC??,29150,850,3,,,629,46.31,8808,3.31,80,0.27
2024-12-23,89230,THE E&M,906,-16,-1.74,,,,,1570,0.58,0,0
2024-12-23,32540,TJ???,4860,20,0.41,337,14.42,,,6177,0.79,320,6.58
2024-12-23,22220,TKG??,1076,63,6.22,105,10.25,,,1932,0.56,0,0
2024-12-23,69260,TKG???,18570,280,1.53,3512,5.29,2304,8.06,21904,0.85,1000,5.39
2024-12-23,7980,TP,1480,58,4.08,130,11.38,,,4274,0.35,35,2.36
2024-12-23,48770,TPC,1941,-29,-1.47,,,,,2849,0.68,25,1.29
2024-12-23,246690,TS??????,979,7,0.72,258,3.79,,,2029,0.48,10,1.02
2024-12-23,317240,TS????,279,0,0,,,,,277,1.01,0,0
2024-12-23,2900,TYM,4545,-160,-3.4,1390,3.27,,,8938,0.51,160,3.52
2024-12-23,24070,WISCOM,2260,5,0.22,,,,,7237,0.31,50,2.21
2024-12-23,57030,YBM?,4365,120,2.83,313,13.95,,,3196,1.37,150,3.44
2024-12-23,37270,YG PLUS,3735,-35,-0.93,340,10.99,,,2564,1.46,0,0
2024-12-23,40300,YTN,3225,10,0.31,,,,,5796,0.56,0,0
2024-12-23,51390,YW,3720,10,0.27,622,5.98,,,9444,0.39,200,5.38
2024-12-23,52220,iMBC,3195,-10,-0.31,90,35.5,,,2544,1.26,0,0
2024-12-23,79940,???,16130,0,0,1241,13,,,11137,1.45,80,0.5
2024-12-23,78890,????,3075,25,0.82,,,,,10860,0.28,30,0.98
2024-12-23,500,????,52300,2700,5.44,2907,17.99,,,46434,1.13,0,0
2024-12-23,399720,????,41150,500,1.23,552,74.55,1391,29.58,5398,7.62,0,0
2024-12-23,36620,???????,3025,-20,-0.66,268,11.29,460,6.57,859,3.52,0,0
2024-12-23,860,??????,26050,300,1.17,2541,10.25,,,93917,0.28,500,1.92
2024-12-23,198440,?????,1230,11,0.9,,,,,2883,0.43,0,0
2024-12-23,217730,???????,1996,-74,-3.57,,,,,857,2.33,0,0
2024-12-23,35250,????,16630,90,0.54,1681,9.89,1481,11.23,18141,0.92,930,5.59
2024-12-23,114190,?????,10080,530,5.55,168,60,,,1494,6.75,0,0
2024-12-23,94480,????????,7920,370,4.9,,,,,2897,2.73,45,0.57
2024-12-23,11420,???????,2000,42,2.15,97,20.62,,,2713,0.74,0,0
2024-12-23,39240,????,5270,550,11.65,317,16.62,,,3999,1.32,120,2.28
2024-12-23,53950,????,751,18,2.46,,,,,1783,0.42,0,0
2024-12-23,2100,??,9260,40,0.43,1059,8.74,,,13544,0.68,450,4.86
2024-12-23,9450,?????,86800,500,0.58,5753,15.09,9153,9.48,40448,2.15,550,0.63
2024-12-23,267290,??????,18360,220,1.21,5196,3.53,,,71387,0.26,875,4.77
2024-12-23,12320,??????,64700,1600,2.54,9133,7.08,,,212135,0.3,750,1.16
2024-12-23,11040,????,6270,50,0.8,,,,,8409,0.75,400,6.38
2024-12-23,50,??,6290,-10,-0.16,,,,,29623,0.21,125,1.99
2024-12-23,214390,????,7440,0,0,124,60,,,6039,1.23,50,0.67
2024-12-23,12610,????,2800,40,1.45,,,,,5471,0.51,50,1.79
2024-12-23,9140,????,20400,200,0.99,4445,4.59,,,54237,0.38,350,1.72
2024-12-23,24910,????,1980,-30,-1.49,257,7.7,,,3777,0.52,50,2.53
2024-12-23,13580,????,13340,360,2.77,5334,2.5,6349,2.1,90108,0.15,400,3
2024-12-23,12200,????,1429,23,1.64,,,,,4254,0.34,25,1.75
2024-12-23,12205,?????,3460,5,0.14,,,,,,,30,0.87
2024-12-23,2140,????,2710,40,1.5,137,19.78,,,4348,0.62,25,0.92
2024-12-23,49720,??????,10220,-110,-1.06,846,12.08,,,3279,3.12,380,3.72
2024-12-23,10130,????,1102000,111000,11.2,26139,42.16,,,451351,2.44,15000,1.36
2024-12-23,2240,????,19020,510,2.76,2859,6.65,,,67120,0.28,350,1.84
2024-12-23,14570,????,4770,40,0.85,,,,,7147,0.67,150,3.14
2024-12-23,348150,?????,5310,200,3.91,,,,,2321,2.29,0,0
2024-12-23,98460,??,8520,200,2.4,328,25.98,350,24.37,4654,1.83,140,1.64
2024-12-23,35290,?????,416,11,2.72,,,,,263,1.58,0,0
2024-12-23,215000,???,71000,1000,1.43,12973,5.47,13003,5.46,68089,1.04,4500,6.34
2024-12-23,121440,????????,3670,85,2.37,891,4.12,,,16929,0.22,167,4.55
2024-12-23,366030,????,3810,55,1.46,445,8.56,,,2925,1.3,120,3.15
2024-12-23,9290,????,5680,-20,-0.35,913,6.22,,,13588,0.42,100,1.76
2024-12-23,14200,??,30200,0,0,6094,4.96,,,55327,0.55,0,0
2024-12-23,17040,????,1578,-7,-0.44,239,6.6,,,2838,0.56,10,0.63
2024-12-23,29480,??,2645,80,3.12,162,16.33,,,2378,1.11,0,0
2024-12-23,17900,???,1742,38,2.23,,,,,4594,0.38,50,2.87
2024-12-23,37710,?????,29100,150,0.52,6065,4.8,,,102953,0.28,2200,7.56
2024-12-23,26910,????,2030,-10,-0.49,,,,,3427,0.59,0,0
2024-12-23,440790,??13???,2110,5,0.24,,,,,,,0,0
2024-12-23,456490,??14???,2075,-15,-0.72,,,,,,,0,0
2024-12-23,465320,??15???,2080,-5,-0.24,,,,,,,0,0
2024-12-23,482520,??16???,1999,-1,-0.05,,,,,,,0,0
2024-12-23,489210,??17???,1965,1,0.05,,,,,,,0,0
2024-12-23,30610,????,5730,30,0.53,843,6.8,1123,5.1,16632,0.34,250,4.36
2024-12-23,339770,??????,11190,30,0.27,574,19.49,1606,6.97,7475,1.5,300,2.68
2024-12-23,53270,????,2045,54,2.71,736,2.78,,,4086,0.5,50,2.44
2024-12-23,7690,????,30650,2350,8.3,921,33.28,3457,8.87,100047,0.31,1200,3.92
2024-12-23,1140,??,2110,0,0,,,,,2367,0.89,0,0
2024-12-23,66620,?????,18090,10,0.06,4084,4.43,,,31855,0.57,400,2.21
2024-12-23,43650,???,4740,80,1.72,,,,,14293,0.33,105,2.22
2024-12-23,6050,?????,1790,-67,-3.61,23,77.83,,,1439,1.24,10,0.56
2024-12-23,60480,????,1736,10,0.58,,,,,4163,0.42,50,2.88
2024-12-23,78130,????,800,0,0,,,,,1055,0.76,0,0
2024-12-23,307750,????,3605,140,4.04,98,36.79,,,1965,1.83,10,0.28
2024-12-23,2720,????,4930,80,1.65,,,,,4194,1.18,0,0
2024-12-23,35080,?????,12360,260,2.15,,,,,40227,0.31,200,1.62
2024-12-23,453450,?????,17070,1110,6.95,922,18.51,,,11848,1.44,0,0
2024-12-23,204020,???,2950,100,3.51,424,6.96,,,3802,0.78,100,3.39
2024-12-23,402490,?????,19160,400,2.13,388,49.38,,,6248,3.07,0,0
2024-12-23,114450,??????,1681,-33,-1.93,,,,,1813,0.93,0,0
2024-12-23,83420,?????,6800,400,6.25,144,47.22,,,5160,1.32,230,3.38
2024-12-23,186230,?????,7730,180,2.38,,,683,11.31,3940,1.96,0,0
2024-12-23,14530,????,3635,20,0.55,439,8.28,,,6020,0.6,200,5.5
2024-12-23,204620,???????,3845,15,0.39,,,,,1597,2.41,0,0
2024-12-23,19660,???,610,-13,-2.09,,,,,302,2.02,0,0
2024-12-23,14280,????,4130,45,1.1,1458,2.83,,,14331,0.29,120,2.91
2024-12-23,14285,?????,6780,80,1.19,,,,,,,130,1.92
2024-12-23,53260,????,4005,15,0.38,281,14.25,,,7818,0.51,130,3.25
2024-12-23,8870,??,59600,800,1.36,,,,,97823,0.61,1300,2.18
2024-12-23,1570,??,24750,-250,-1,,,,,3377,7.33,0,0
2024-12-23,282720,??????,9530,-20,-0.21,1695,5.62,,,8935,1.07,300,3.15
2024-12-23,2990,????,2730,15,0.55,31,88.06,198,13.79,13006,0.21,0,0
2024-12-23,2995,?????,15350,-450,-2.85,,,,,,,0,0
2024-12-23,11780,????,94200,200,0.21,16727,5.63,13413,7.02,221466,0.43,2900,3.08
2024-12-23,11785,?????,50300,-300,-0.59,,,,,,,2950,5.86
2024-12-23,214330,??????,621,0,0,,,,,1630,0.38,0,0
2024-12-23,1210,????,811,13,1.63,,,,,574,1.41,0,0
2024-12-23,73240,?????,4910,20,0.41,549,8.94,1263,3.89,4401,1.12,0,0
2024-12-23,36190,??????,25250,0,0,6435,3.92,,,55933,0.45,1300,5.15
2024-12-23,49080,????,558,0,0,,,,,651,0.86,0,0
2024-12-23,420770,????,25950,1150,4.64,2752,9.43,,,16773,1.55,800,3.08
2024-12-23,35460,?????,1753,-4,-0.23,223,7.86,,,2664,0.66,0,0
2024-12-23,92440,????,2460,20,0.82,59,41.69,,,8537,0.29,120,4.88
2024-12-23,270,??,100900,-300,-0.3,22168,4.55,25663,3.93,117495,0.86,5600,5.55
2024-12-23,24110,????,14560,270,1.89,3162,4.6,3533,4.12,39698,0.37,984,6.76
2024-12-23,13700,?????,1297,-3,-0.23,58,22.36,,,1908,0.68,20,1.54
2024-12-23,308100,?????,2950,20,0.68,,,,,8736,0.34,0,0
2024-12-23,4540,?????,2415,10,0.42,,,,,5628,0.43,0,0
2024-12-23,4545,??????,12210,-70,-0.57,,,,,,,0,0
2024-12-23,407400,??,8290,320,4.02,,,,,3025,2.74,0,0
2024-12-23,187790,??,1025,0,0,,,,,269,3.81,0,0
2024-12-23,286750,????,2075,25,1.22,,,,,471,4.41,0,0
2024-12-23,121600,?????,62500,1100,1.79,1489,41.97,2710,23.06,19951,3.13,250,0.4
2024-12-23,247660,??????,6530,30,0.46,,,,,6279,1.04,0,0
2024-12-23,39860,????,3360,80,2.44,,,,,1999,1.68,0,0
2024-12-23,91970,????,692,-8,-1.14,,,,,884,0.78,0,0
2024-12-23,417010,???,7530,300,4.15,259,29.07,,,2600,2.9,0,0
2024-12-23,405920,????,3185,80,2.58,,,,,5593,0.57,80,2.51
2024-12-23,51490,?????,3790,80,2.16,640,5.92,,,7218,0.53,70,1.85
2024-12-23,137080,?????,4470,295,7.07,,,,,8459,0.53,0,0
2024-12-23,190510,???,13490,390,2.98,1455,9.27,,,9272,1.45,0,0
2024-12-23,242040,????,1484,52,3.63,,,,,1216,1.22,0,0
2024-12-23,89600,?????,15100,-170,-1.11,1478,10.22,2063,7.32,18833,0.8,700,4.64
2024-12-23,293580,??IB,1311,53,4.21,21,62.43,,,999,1.31,18,1.37
2024-12-23,138610,???,16320,110,0.68,,,,,2846,5.73,0,0
2024-12-23,130580,??????,4850,5,0.1,674,7.2,929,5.22,5889,0.82,182,3.75
2024-12-23,36800,???????,18320,30,0.16,3311,5.53,4365,4.2,36792,0.5,730,3.98
2024-12-23,267320,????,1925,-19,-0.98,217,8.87,237,8.14,1758,1.09,0,0
2024-12-23,1260,????,8180,-190,-2.27,610,13.41,,,11506,0.71,0,0
2024-12-23,8350,?????,1632,-68,-4,,,,,2343,0.7,0,0
2024-12-23,8355,?????,18140,-3260,-15.23,,,,,,,0,0
2024-12-23,4270,??,1133,4,0.35,,,,,3455,0.33,0,0
2024-12-23,3920,????,58400,-800,-1.35,,,,,77097,0.76,100,0.17
2024-12-23,3925,?????,36950,50,0.14,,,,,,,105,0.28
2024-12-23,25860,????,6370,20,0.31,250,25.48,,,10642,0.6,60,0.94
2024-12-23,111710,????,5430,100,1.88,858,6.33,,,8729,0.62,200,3.68
2024-12-23,91590,????,4330,-20,-0.46,,,,,13091,0.33,50,1.15
2024-12-23,168330,??????,1438,-57,-3.81,,,,,985,1.46,0,0
2024-12-23,94860,????,1077,-13,-1.19,,,,,1580,0.68,0,0
2024-12-23,253590,???,9310,440,4.96,219,42.51,,,2101,4.43,30,0.32
2024-12-23,212560,????,7450,230,3.19,1514,4.92,,,13688,0.54,150,2.01
2024-12-23,95660,????,19800,20,0.1,2380,8.32,1511,13.1,24005,0.82,245,1.24
2024-12-23,42420,???????,18360,260,1.44,1049,17.5,,,50721,0.36,0,0
2024-12-23,311390,?????,5540,-60,-1.07,,,,,4091,1.35,0,0
2024-12-23,85910,????,3265,5,0.15,,,,,3789,0.86,200,6.13
2024-12-23,92730,???,12170,310,2.61,1520,8.01,1778,6.84,10478,1.16,750,6.16
2024-12-23,290660,????,887,58,7,,,,,749,1.18,0,0
2024-12-23,306620,????,2560,50,1.99,,,,,1012,2.53,0,0
2024-12-23,153460,???,6670,-120,-1.77,,,,,4889,1.36,0,0
2024-12-23,7390,????,20100,50,0.25,,,,,957,21,0,0
2024-12-23,33640,???,6900,320,4.86,,,,,6510,1.06,0,0
2024-12-23,330860,?????,10890,630,6.14,,,,,18528,0.59,0,0
2024-12-23,5720,??,4625,115,2.55,778,5.94,,,22055,0.21,125,2.7
2024-12-23,5725,???,3090,0,0,,,,,,,130,4.21
2024-12-23,2350,?????,6400,70,1.11,1001,6.39,1723,3.71,16524,0.39,115,1.8
2024-12-23,2355,?????1?B,2975,45,1.54,,,,,,,120,4.03
2024-12-23,89140,??????,2985,150,5.29,1087,2.75,,,14687,0.2,0,0
2024-12-23,389650,?????????,44100,6850,18.39,,,734,60.05,,,0,0
2024-12-23,137940,?????,565,31,5.81,,,,,1099,0.51,0,0
2024-12-23,396270,????,13500,350,2.66,,,,,1625,8.31,0,0
2024-12-23,348210,???,53000,2400,4.74,3088,17.16,4455,11.9,12469,4.25,500,0.94
2024-12-23,92790,???,8300,230,2.85,5470,1.52,,,17112,0.49,700,8.43
2024-12-23,225570,?????,13540,-60,-0.44,177,76.5,470,28.8,4117,3.29,0,0
2024-12-23,217270,??,4930,-30,-0.6,,,,,8233,0.6,0,0
2024-12-23,251270,???,52900,0,0,,,2240,23.62,60774,0.87,0,0
2024-12-23,104620,????,4750,55,1.17,374,12.7,,,2543,1.87,0,0
2024-12-23,90350,?????,8230,190,2.36,1362,6.04,,,18290,0.45,325,3.95
2024-12-23,90355,??????,13390,-110,-0.81,,,,,,,330,2.46
2024-12-23,320,?????,13200,310,2.4,2429,5.43,2660,4.96,39422,0.33,500,3.79
2024-12-23,325,??????,29900,200,0.67,,,,,,,505,1.69
2024-12-23,473980,???,22300,50,0.22,,,,,4178,5.34,0,0
2024-12-23,194700,????,7490,230,3.17,1245,6.02,,,11311,0.66,200,2.67
2024-12-23,285490,???,15690,-200,-1.26,2930,5.35,,,15227,1.03,500,3.19
2024-12-23,145170,????,8270,490,6.3,59,140.17,1201,6.89,7619,1.09,0,0
2024-12-23,106520,?????,411,0,0,,,,,1432,0.29,0,0
2024-12-23,376930,??,2765,65,2.41,,,,,1164,2.38,0,0
2024-12-23,6280,???,170200,3500,2.1,,,3389,50.23,113924,1.49,1500,0.88
2024-12-23,142280,??????,3685,120,3.37,85,43.35,,,1636,2.25,0,0
2024-12-23,234690,?????,10700,770,7.75,380,28.16,1217,8.79,5655,1.89,100,0.93
2024-12-23,5250,??????,17740,940,5.6,,,,,21591,0.82,300,1.69
2024-12-23,5257,??????2?,23100,150,0.65,,,,,,,300,1.3
2024-12-23,4370,??,386000,5000,1.31,29728,12.98,30032,12.85,420264,0.92,5000,1.3
2024-12-23,72710,?????,66000,500,0.76,14478,4.56,,,242037,0.27,2500,3.79
2024-12-23,54050,?????,7200,20,0.28,645,11.16,,,16055,0.45,200,2.78
2024-12-23,69140,????,1325,-41,-3,,,,,2944,0.45,0,0
2024-12-23,40160,?????,2785,40,1.46,260,10.71,,,7304,0.38,50,1.8
2024-12-23,332290,??,1011,-19,-1.84,,,,,705,1.43,0,0
2024-12-23,348340,????,22800,1200,5.56,,,,,2284,9.98,0,0
2024-12-23,60260,???,1211,64,5.58,,,,,1429,0.85,0,0
2024-12-23,123840,??,1745,0,0,,,,,3730,0.47,0,0
2024-12-23,12340,???,493,4,0.82,,,,,625,0.79,0,0
2024-12-23,270870,???,5950,0,0,513,11.6,,,11096,0.54,0,0
2024-12-23,144960,???????,4565,195,4.46,475,9.61,,,6007,0.76,50,1.1
2024-12-23,85670,????,5430,470,9.48,278,19.53,859,6.32,2991,1.82,0,0
2024-12-23,64260,??,2890,50,1.76,,,,,4363,0.66,0,0
2024-12-23,340360,????,2095,30,1.45,,,,,387,5.41,0,0
2024-12-23,39560,??????,3475,-35,-1,,,,,7672,0.45,0,0
2024-12-23,154040,??????,1105,10,0.91,1491,0.74,,,3322,0.33,0,0
2024-12-23,58730,???,2935,45,1.56,764,3.84,,,8251,0.36,100,3.41
2024-12-23,30210,??????,3120,45,1.46,,,,,9510,0.33,150,4.81
2024-12-23,23590,????,17940,230,1.3,5237,3.43,,,58374,0.31,700,3.9
2024-12-23,32190,?????,10600,-110,-1.03,1660,6.39,,,30801,0.34,250,2.36
2024-12-23,323350,?????,4950,-50,-1,,,,,,,0,0
2024-12-23,68240,????,9320,-80,-0.85,108,86.3,,,6041,1.54,0,0
2024-12-23,145210,???????,1735,5,0.29,,,,,1512,1.15,0,0
2024-12-23,464580,??,5880,20,0.34,,,553,10.63,106,55.47,0,0
2024-12-23,19680,??,2500,-75,-2.91,,,36,68.51,3754,0.67,0,0
2024-12-23,19685,???B,1451,1,0.07,,,,,,,45,3.1
2024-12-23,6370,?????,5710,140,2.51,,,,,23714,0.24,50,0.88
2024-12-23,8060,??,6720,20,0.3,364,18.46,,,17308,0.39,400,5.95
2024-12-23,00806K,??1?,7230,-70,-0.96,,,,,,,405,5.6
2024-12-23,353200,????,15580,340,2.23,492,31.67,1236,12.61,16857,0.92,300,1.93
2024-12-23,35320K,????1?,8130,190,2.39,,,,,,,305,3.75
2024-12-23,490,??,9890,50,0.51,794,12.46,,,19071,0.52,100,1.01
2024-12-23,20400,????,6700,70,1.06,260,25.77,,,16443,0.41,60,0.9
2024-12-23,8830,????,13860,-390,-2.74,308,45,,,9686,1.43,40,0.29
2024-12-23,48470,????,3290,35,1.08,,,,,7347,0.45,30,0.91
2024-12-23,8110,????,15040,0,0,3427,4.39,,,32490,0.46,0,0
2024-12-23,4780,????,4080,30,0.74,822,4.96,,,8909,0.46,110,2.7
2024-12-23,5750,??B&Co,3795,-10,-0.26,,,,,9208,0.41,110,2.9
2024-12-23,17650,????,6680,-10,-0.15,2201,3.03,,,31419,0.21,100,1.5
2024-12-23,6570,????,2675,20,0.75,,,,,4687,0.57,0,0
2024-12-23,7720,??????,879,43,5.14,,,,,1140,0.77,0,0
2024-12-23,389260,?????,12000,-520,-4.15,360,33.33,657,18.27,7094,1.69,0,0
2024-12-23,317850,??,8950,-50,-0.56,,,,,5568,1.61,40,0.45
2024-12-23,290670,??????,15000,1460,10.78,,,,,9329,1.61,0,0
2024-12-23,78140,?????,13750,460,3.46,382,35.99,,,11027,1.25,50,0.36
2024-12-23,65150,??F&B,145,0,0,,,,,205,0.71,0,0
2024-12-23,1680,??,20050,320,1.62,1862,10.77,3191,6.28,36679,0.55,800,3.99
