date,symbol,open,high,low,close,volume,sector
2020-01-01,AAPL,150.3880729817459,151.79146591797092,147.9811991055418,150.0,11459866,Technology
2020-01-02,AAPL,150.24257675332535,151.3926938714685,147.6134411202068,149.66020709648646,18418451,Technology
2020-01-03,AAPL,151.1526667355856,153.1113289257445,149.72681320576288,151.67370121495813,19557007,Technology
2020-01-06,AAPL,156.01143356486983,157.00213771807486,153.7329471365038,156.36960957321145,16046837,Technology
2020-01-07,AAPL,155.31298133988972,156.3848095381753,153.2627534786612,155.7155049422833,19823627,Technology
2020-01-08,AAPL,155.69659908350928,156.63672344899314,152.25430106496623,155.0641876052146,61591500,Technology
2020-01-09,AAPL,159.36229513720795,162.2675536819462,157.45114909879976,160.03930674486517,15456272,Technology
2020-01-10,AAPL,163.0989398200422,164.7201296110027,160.61870169980847,162.5757208387489,12973107,Technology
2020-01-13,AAPL,160.76304146443593,163.36170883470476,158.3333802576925,161.1305059649942,23404577,Technology
2020-01-14,AAPL,163.6750346383494,165.03359579018982,160.22916299731665,162.95953070476463,5079565,Technology
2020-01-15,AAPL,161.15833490240146,162.14745375968764,159.42208901131357,161.53064387529693,18542464,Technology
2020-01-16,AAPL,159.6564611801281,162.01305887498705,157.32837904212658,160.10681665791284,14912929,Technology
2020-01-17,AAPL,161.22237415962024,163.5851473792167,158.99475531752142,160.9616662472769,10934560,Technology
2020-01-20,AAPL,155.28686553650778,155.4643511867327,151.92208765193806,154.8828515568382,23149285,Technology
2020-01-21,AAPL,149.91475057664172,150.719309888945,147.27161118689813,149.61708913059945,18450275,Technology
2020-01-22,AAPL,147.3153980685731,148.77773599257938,145.09899860694082,148.00934120757535,7292749,Technology
2020-01-23,AAPL,145.6353188882702,145.79144155575807,142.99208662626287,145.08517654067455,12998322,Technology
2020-01-24,AAPL,145.3961607916183,148.01769398054415,143.62002494950835,146.06957172348532,4237398,Technology
2020-01-27,AAPL,144.06088664701946,146.03863278171403,141.086873722251,143.48991275282714,20795148,Technology
2020-01-28,AAPL,140.06800606797086,142.28808287752997,137.86998448444544,139.50863101150165,20691743,Technology
2020-01-29,AAPL,144.16326746553415,144.38328913087415,141.6229780647858,143.6677983929262,12078706,Technology
2020-01-30,AAPL,142.47167921898037,143.3625344654056,141.65840307423093,143.09089661171865,23526828,Technology
2020-01-31,AAPL,143.1071729774448,145.50082398841292,141.6449818744076,143.355695487132,9457761,Technology
2020-02-03,AAPL,139.8413364183083,142.12269757475622,136.89211597097827,139.34245799230237,11076508,Technology
2020-02-04,AAPL,137.26118337883656,139.0290419074948,135.31649111052616,137.89501668282082,22124382,Technology
2020-02-05,AAPL,137.60953649964515,139.26660110406166,136.588154006333,138.26987763833313,12727330,Technology
2020-02-06,AAPL,135.24550496815326,136.00153455438203,133.33731945865884,135.1560577548985,17404983,Technology
2020-02-07,AAPL,135.8740967764397,136.2783793772482,134.55575806988648,136.23919304509454,13548292,Technology
2020-02-10,AAPL,134.83734771419685,136.72389862515735,132.02972609286226,134.67070203309308,14623348,Technology
2020-02-11,AAPL,134.40396512578116,135.6121255883881,132.02801914717648,133.9523853428431,14946437,Technology
